Modelo,Encoding,Procesamiento,Accuracy,Precision,Recall,F1-weighted,ROC-AUC(macro),ArchivoModelo
NB,km3,Original,1.0,1.0,1.0,1.0,1.0,km3_Original_NB.pkl
SVM,km3,Original,1.0,1.0,1.0,1.0,1.0,km3_Original_SVM.pkl
RF,km3,Original,1.0,1.0,1.0,1.0,1.0,km3_Original_RF.pkl
GBC,km3,Original,1.0,1.0,1.0,1.0,1.0,km3_Original_GBC.pkl
XGBoost,km3,Original,1.0,1.0,1.0,1.0,1.0,km3_Original_XGBoost.pkl
NB,km3,Scaled,1.0,1.0,1.0,1.0,1.0,km3_Scaled_NB.pkl
SVM,km3,Scaled,1.0,1.0,1.0,1.0,1.0,km3_Scaled_SVM.pkl
RF,km3,Scaled,1.0,1.0,1.0,1.0,1.0,km3_Scaled_RF.pkl
GBC,km3,Scaled,1.0,1.0,1.0,1.0,1.0,km3_Scaled_GBC.pkl
XGBoost,km3,Scaled,1.0,1.0,1.0,1.0,1.0,km3_Scaled_XGBoost.pkl
SVM,km3,PCA,1.0,1.0,1.0,1.0,1.0,km3_PCA_SVM.pkl
NB,km4,Original,1.0,1.0,1.0,1.0,1.0,km4_Original_NB.pkl
SVM,km4,Original,1.0,1.0,1.0,1.0,1.0,km4_Original_SVM.pkl
RF,km4,Original,1.0,1.0,1.0,1.0,1.0,km4_Original_RF.pkl
GBC,km4,Original,1.0,1.0,1.0,1.0,1.0,km4_Original_GBC.pkl
XGBoost,km4,Original,1.0,1.0,1.0,1.0,1.0,km4_Original_XGBoost.pkl
NB,km4,Scaled,1.0,1.0,1.0,1.0,1.0,km4_Scaled_NB.pkl
SVM,km4,Scaled,1.0,1.0,1.0,1.0,1.0,km4_Scaled_SVM.pkl
RF,km4,Scaled,1.0,1.0,1.0,1.0,1.0,km4_Scaled_RF.pkl
GBC,km4,Scaled,1.0,1.0,1.0,1.0,1.0,km4_Scaled_GBC.pkl
XGBoost,km4,Scaled,1.0,1.0,1.0,1.0,1.0,km4_Scaled_XGBoost.pkl
SVM,km4,PCA,1.0,1.0,1.0,1.0,1.0,km4_PCA_SVM.pkl
NB,km6,Original,1.0,1.0,1.0,1.0,1.0,km6_Original_NB.pkl
SVM,km6,Original,1.0,1.0,1.0,1.0,1.0,km6_Original_SVM.pkl
RF,km6,Original,1.0,1.0,1.0,1.0,1.0,km6_Original_RF.pkl
GBC,km6,Original,1.0,1.0,1.0,1.0,1.0,km6_Original_GBC.pkl
XGBoost,km6,Original,1.0,1.0,1.0,1.0,1.0,km6_Original_XGBoost.pkl
LR,km6,Scaled,1.0,1.0,1.0,1.0,1.0,km6_Scaled_LR.pkl
NB,km6,Scaled,1.0,1.0,1.0,1.0,1.0,km6_Scaled_NB.pkl
SVM,km6,Scaled,1.0,1.0,1.0,1.0,1.0,km6_Scaled_SVM.pkl
RF,km6,Scaled,1.0,1.0,1.0,1.0,1.0,km6_Scaled_RF.pkl
GBC,km6,Scaled,1.0,1.0,1.0,1.0,1.0,km6_Scaled_GBC.pkl
XGBoost,km6,Scaled,1.0,1.0,1.0,1.0,1.0,km6_Scaled_XGBoost.pkl
SVM,km6,PCA,1.0,1.0,1.0,1.0,1.0,km6_PCA_SVM.pkl
LR,km3,Scaled,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,1.0,km3_Scaled_LR.pkl
MLP,km3,Scaled,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,1.0,km3_Scaled_MLP.pkl
MLP,km3,PCA,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,1.0,km3_PCA_MLP.pkl
LR,km4,Scaled,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,1.0,km4_Scaled_LR.pkl
MLP,km4,Scaled,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,1.0,km4_Scaled_MLP.pkl
RF,km4,PCA,0.9977477477477478,0.9977578475336322,0.9977477477477478,0.9977477363228244,1.0,km4_PCA_RF.pkl
MLP,km6,Scaled,0.9977477477477478,0.9977578475336322,0.9977477477477478,0.9977477363228244,1.0,km6_Scaled_MLP.pkl
RF,km3,PCA,0.9966216216216216,0.9966442953020135,0.9966216216216216,0.996621583062261,1.0,km3_PCA_RF.pkl
RF,km6,PCA,0.9966216216216216,0.9966442953020135,0.9966216216216216,0.996621583062261,1.0,km6_PCA_RF.pkl
MLP,km4,PCA,0.9943693693693694,0.9944320712694877,0.9943693693693694,0.9943691908501888,1.0,km4_PCA_MLP.pkl
MLP,km6,PCA,0.9943693693693694,0.9944320712694877,0.9943693693693694,0.9943691908501888,1.0,km6_PCA_MLP.pkl
NB,km6,PCA,0.990990990990991,0.9911504424778761,0.990990990990991,0.9909902597402597,1.0,km6_PCA_NB.pkl
MLP,km3,Original,0.9921171171171171,0.992239467849224,0.9921171171171171,0.9921166272455754,0.9999898547195845,km3_Original_MLP.pkl
NB,km4,PCA,0.9853603603603603,0.9857768052516411,0.9853603603603603,0.9853572221341367,0.9999695641587534,km4_PCA_NB.pkl
NB,km3,PCA,0.9887387387387387,0.9889867841409692,0.9887387387387387,0.9887373104494421,0.9999695641587533,km3_PCA_NB.pkl
GBC,km3,PCA,0.9932432432432432,0.9933333333333333,0.9932432432432432,0.9932429347577958,0.9999188377566756,km3_PCA_GBC.pkl
GBC,km4,PCA,0.9943693693693694,0.9944320712694877,0.9943693693693694,0.9943691908501888,0.99990869247626,km4_PCA_GBC.pkl
XGBoost,km6,PCA,0.9932432432432432,0.9933333333333333,0.9932432432432432,0.9932429347577958,0.99990869247626,km6_PCA_XGBoost.pkl
GBC,km6,PCA,0.9943693693693694,0.9944320712694877,0.9943693693693694,0.9943691908501888,0.9999036198360522,km6_PCA_GBC.pkl
LR,km4,PCA,0.9898648648648649,0.990066225165563,0.9898648648648649,0.9898638236670585,0.9998782566350134,km4_PCA_LR.pkl
LR,km3,PCA,0.9887387387387387,0.9889867841409692,0.9887387387387387,0.9887373104494421,0.9998731839948056,km3_PCA_LR.pkl
MLP,km4,Original,0.9898648648648649,0.990066225165563,0.9898648648648649,0.9898638236670585,0.9998681113545979,km4_Original_MLP.pkl
LR,km6,PCA,0.9887387387387387,0.9889867841409692,0.9887387387387387,0.9887373104494421,0.9998681113545979,km6_PCA_LR.pkl
XGBoost,km4,PCA,0.9943693693693694,0.9944320712694877,0.9943693693693694,0.9943691908501888,0.9998326028731435,km4_PCA_XGBoost.pkl
LR,km6,Original,0.9898648648648649,0.990066225165563,0.9898648648648649,0.9898638236670585,0.9998326028731434,km6_Original_LR.pkl
LR,km4,Original,0.9887387387387387,0.9889867841409692,0.9887387387387387,0.9887373104494421,0.9998072396721045,km4_Original_LR.pkl
LR,km3,Original,0.9887387387387387,0.9889867841409692,0.9887387387387387,0.9887373104494421,0.9997666585504423,km3_Original_LR.pkl
SVM,com,Original,0.9898648648648649,0.9898673497856799,0.9898648648648649,0.9898648520118751,0.9995536076617159,com_Original_SVM.pkl
XGBoost,dax,Original,0.9876126126126126,0.9876744575391531,0.9876126126126126,0.9876122198704154,0.9995282444606769,dax_Original_XGBoost.pkl
XGBoost,dax,Scaled,0.9876126126126126,0.9876744575391531,0.9876126126126126,0.9876122198704154,0.9995282444606769,dax_Scaled_XGBoost.pkl
GBC,dax,Original,0.9842342342342343,0.9844799935037252,0.9842342342342343,0.9842322346292192,0.9994623001379759,dax_Original_GBC.pkl
GBC,dax,Scaled,0.9842342342342343,0.9844799935037252,0.9842342342342343,0.9842322346292192,0.9994623001379759,dax_Scaled_GBC.pkl
MLP,eiip,Scaled,0.9853603603603603,0.9853825198983396,0.9853603603603603,0.9853601932697978,0.999254321889457,eiip_Scaled_MLP.pkl
XGBoost,km3,PCA,0.9932432432432432,0.9933333333333333,0.9932432432432432,0.9932429347577958,0.9991833049265482,km3_PCA_XGBoost.pkl
GBC,eiip,Original,0.9853603603603603,0.9854810312197152,0.9853603603603603,0.9853594505989257,0.9991731596461326,eiip_Original_GBC.pkl
GBC,eiip,Scaled,0.9853603603603603,0.9854810312197152,0.9853603603603603,0.9853594505989257,0.9991731596461326,eiip_Scaled_GBC.pkl
RF,eiip,PCA,0.972972972972973,0.9741370542887945,0.972972972972973,0.9729563738801614,0.9991477964450939,eiip_PCA_RF.pkl
RF,dax,Original,0.9808558558558559,0.9809168438088185,0.9808558558558559,0.9808552488906418,0.9991300422043665,dax_Original_RF.pkl
RF,dax,Scaled,0.9808558558558559,0.9809168438088185,0.9808558558558559,0.9808552488906418,0.9991097516435354,dax_Scaled_RF.pkl
XGBoost,com,Original,0.9808558558558559,0.98087780973687,0.9808558558558559,0.9808556373528126,0.9990361983605227,com_Original_XGBoost.pkl
XGBoost,com,Scaled,0.9808558558558559,0.98087780973687,0.9808558558558559,0.9808556373528126,0.9990361983605227,com_Scaled_XGBoost.pkl
DT,km3,Original,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,0.9988738738738738,km3_Original_DT.pkl
DT,km3,Scaled,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,0.9988738738738738,km3_Scaled_DT.pkl
DT,km4,Original,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,0.9988738738738738,km4_Original_DT.pkl
DT,km4,Scaled,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,0.9988738738738738,km4_Scaled_DT.pkl
DT,km6,Original,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,0.9988738738738738,km6_Original_DT.pkl
DT,km6,Scaled,0.9988738738738738,0.9988764044943821,0.9988738738738738,0.9988738724457639,0.9988738738738738,km6_Scaled_DT.pkl
XGBoost,eiip,Original,0.9842342342342343,0.9842440598177871,0.9842342342342343,0.9842341542597713,0.9988079295511728,eiip_Original_XGBoost.pkl
XGBoost,eiip,Scaled,0.9842342342342343,0.9842440598177871,0.9842342342342343,0.9842341542597713,0.9988079295511728,eiip_Scaled_XGBoost.pkl
GBC,eiip,PCA,0.9842342342342343,0.9842440598177871,0.9842342342342343,0.9842341542597713,0.9987572031490951,eiip_PCA_GBC.pkl
RF,com,Original,0.9797297297297297,0.9797297297297297,0.9797297297297297,0.9797297297297297,0.9985542975407841,com_Original_RF.pkl
RF,com,Scaled,0.9797297297297297,0.9797297297297297,0.9797297297297297,0.9797297297297297,0.9985542975407841,com_Scaled_RF.pkl
GBC,com,Original,0.9786036036036037,0.9788975458721418,0.9786036036036037,0.9786003198790497,0.9984883532180829,com_Original_GBC.pkl
GBC,com,Scaled,0.9786036036036037,0.9788975458721418,0.9786036036036037,0.9786003198790497,0.9984883532180829,com_Scaled_GBC.pkl
NB,eiip,PCA,0.9786036036036037,0.9794816414686824,0.9786036036036037,0.978593803723247,0.9984528447366285,eiip_PCA_NB.pkl
MLP,km6,Original,0.9842342342342343,0.9847161572052401,0.9842342342342343,0.9842303145311462,0.9979658712766821,km6_Original_MLP.pkl
SVM,dax,Original,0.9864864864864865,0.9864963577704279,0.9864864864864865,0.9864864179369467,0.9978542731921111,dax_Original_SVM.pkl
LDA,km6,PCA,0.9752252252252253,0.9752252252252253,0.9752252252252253,0.9752252252252253,0.9978542731921111,km6_PCA_LDA.pkl
MLP,com,Original,0.9718468468468469,0.9723860017977665,0.9718468468468469,0.9718388114456203,0.9977680383085787,com_Original_MLP.pkl
LDA,km4,PCA,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.9977223845467088,km4_PCA_LDA.pkl
LDA,km3,PCA,0.9718468468468469,0.9718492403682756,0.9718468468468469,0.9718468111440974,0.9976615128642156,km3_PCA_LDA.pkl
XGBoost,eiip,PCA,0.972972972972973,0.9730113636363638,0.972972972972973,0.9729724245683097,0.9976564402240078,eiip_PCA_XGBoost.pkl
GBC,dax,PCA,0.9673423423423423,0.9680284688108022,0.9673423423423423,0.9673303689795815,0.997042650758867,dax_PCA_GBC.pkl
XGBoost,dax,PCA,0.963963963963964,0.9647277605024083,0.963963963963964,0.9639491512521884,0.9969006168330492,dax_PCA_XGBoost.pkl
MLP,com,Scaled,0.9650900900900901,0.965943336297802,0.9650900900900901,0.9650741008116135,0.9967382923464004,com_Scaled_MLP.pkl
XGBoost,com,PCA,0.9684684684684685,0.9687062262733714,0.9684684684684685,0.9684644692584382,0.9963020452885317,com_PCA_XGBoost.pkl
LDA,km6,Original,0.963963963963964,0.9640016233766234,0.963963963963964,0.9639632327577461,0.9954447690934177,km6_Original_LDA.pkl
LDA,km6,Scaled,0.963963963963964,0.9640016233766234,0.963963963963964,0.9639632327577461,0.9954447690934177,km6_Scaled_LDA.pkl
RF,dax,PCA,0.9583333333333334,0.9588570470923412,0.9583333333333334,0.9583214409395182,0.9951277290804318,dax_PCA_RF.pkl
MLP,com,PCA,0.9425675675675675,0.9463738456422195,0.9425675675675675,0.9424448728685934,0.9951099748397045,com_PCA_MLP.pkl
MLP,dax,Scaled,0.9459459459459459,0.9488970588235294,0.9459459459459459,0.9458569599414669,0.9950947569190813,dax_Scaled_MLP.pkl
LDA,km3,Original,0.9673423423423423,0.9673636792524617,0.9673423423423423,0.9673419696018568,0.9948385885885885,km3_Original_LDA.pkl
LDA,km3,Scaled,0.9673423423423423,0.9673636792524617,0.9673423423423423,0.9673419696018568,0.9948385885885885,km3_Scaled_LDA.pkl
RF,eiip,Original,0.9718468468468469,0.9718683894139312,0.9718468468468469,0.9718465255188419,0.9947498173849525,eiip_Original_RF.pkl
RF,eiip,Scaled,0.9718468468468469,0.9718683894139312,0.9718468468468469,0.9718465255188419,0.9947498173849525,eiip_Scaled_RF.pkl
GBC,com,PCA,0.9617117117117117,0.9620492202729044,0.9617117117117117,0.9617047184170472,0.9944048778508238,com_PCA_GBC.pkl
LDA,km4,Original,0.9707207207207207,0.9707302721019418,0.9707207207207207,0.970720572196718,0.9943642967291616,km4_Original_LDA.pkl
LDA,km4,Scaled,0.9707207207207207,0.9707302721019418,0.9707207207207207,0.970720572196718,0.9943642967291616,km4_Scaled_LDA.pkl
MLP,eiip,PCA,0.9538288288288288,0.9544951154957911,0.9538288288288288,0.9538119009711324,0.9934461488515542,eiip_PCA_MLP.pkl
SVM,com,Scaled,0.9605855855855856,0.960587921982398,0.9605855855855856,0.9605855356017363,0.993385277169061,com_Scaled_SVM.pkl
SVM,com,PCA,0.9538288288288288,0.954218219295618,0.9538288288288288,0.9538189313461234,0.9924772745718691,com_PCA_SVM.pkl
SVM,dax,Scaled,0.9605855855855856,0.961824858728326,0.9605855855855856,0.9605591264125682,0.9921982793604415,dax_Scaled_SVM.pkl
SVM,dax,PCA,0.9470720720720721,0.9509170908904864,0.9470720720720721,0.946959000486743,0.9918584124665207,dax_PCA_SVM.pkl
RF,com,PCA,0.954954954954955,0.9551027035804174,0.954954954954955,0.9549512987012988,0.9909149013878743,com_PCA_RF.pkl
KNN,km4,PCA,0.9684684684684685,0.9703389830508474,0.9684684684684685,0.9684370874377983,0.9898648648648648,km4_PCA_KNN.pkl
KNN,km3,PCA,0.9684684684684685,0.9703389830508474,0.9684684684684685,0.9684370874377983,0.9887387387387387,km3_PCA_KNN.pkl
KNN,km6,Scaled,0.9684684684684685,0.9703389830508474,0.9684684684684685,0.9684370874377983,0.9887387387387387,km6_Scaled_KNN.pkl
KNN,km3,Scaled,0.9650900900900901,0.9673684210526317,0.9650900900900901,0.9650474934070441,0.9887387387387387,km3_Scaled_KNN.pkl
